Follower,Location,Languages
sprsquish,California,"Java, Go, Dockerfile, Ruby, Makefile"
pius,"San Francisco, CA","CoffeeScript, Java, HTML, Perl, Ruby, Elixir, Shell, C#, Objective-C++, Makefile, C, JavaScript, C++, CSS, Python, Objective-C, Erlang"
therubymug,"Portland, Oregon","Gherkin, CoffeeScript, HTML, Vim Script, Ruby, Shell, Makefile, CSS, JavaScript"
crafterm,"Melbourne, Australia","Gherkin, Java, Rich Text Format, Emacs Lisp, Swift, Puppet, Ruby, TypeScript, Shell, Makefile, C, JavaScript, Python, Objective-C"
auser,"Mountain View, CA","Java, SCSS, F#, Ruby, TypeScript, JavaScript, Rust, CoffeeScript, HTML, Dockerfile, AppleScript, CSS, Erlang, Procfile, Shell, PowerShell, Smarty, Python, Batchfile, C#"
jarib,"Oslo, Norway","Objective-J, Racket, Vim Script, Perl, Ruby, C, JavaScript, Stan, R, TSQL, HTML, Dockerfile, Tcl, C++, CSS, Handlebars, PLpgSQL, ASP, Jupyter Notebook, Shell, PowerShell, Python, Objective-C, C#, Makefile, ApacheConf"
komapa,"New York, NY","Lex, Java, AMPL, Go, Perl, Puppet, Ruby, TypeScript, C, JavaScript, JSONiq, PHP, HTML, Dockerfile, C++, CSS, CMake, HCL, Scala, Shell, Python, Jsonnet, Yacc, Batchfile, Makefile"
gjnoonan,False,"Clojure, Go, Emacs Lisp, Vim Script, Haskell, Ruby, TypeScript, C, JavaScript, Nix, PHP, HTML, Dockerfile, TLA, C++, CSS, CMake, Shell, Jinja, PowerShell, Python, Diff, Lua, Makefile"
malkomalko,"Atlanta, GA","Objective-J, Emacs Lisp, Vim Script, Ruby, TypeScript, JavaScript, ActionScript, CoffeeScript, HTML, Dockerfile, CSS, Shell, Python, Fennel, Lua, Batchfile, NSIS, Makefile, Crystal"
peleteiro,Earth,"HCL, Lua, Go, TypeScript, Shell, Makefile, JavaScript, Python"
mountain,Earth,"Clojure, CoffeeScript, Java, TeX, Zig, HTML, Scala, Rust, Dockerfile, Haskell, XSLT, Shell, CSS, JavaScript, Python"
scotu,San Francisco (CA),"PHP, HTML, Go, Perl, GLSL, Puppet, Ruby, Shell, Makefile, CSS, JavaScript, Python"
mmmurf,"San Francisco, CA","Mustache, Lex, Java, Emacs Lisp, IDL, Perl, POV-Ray SDL, F#, Ruby, C, JavaScript, Prolog, Meson, CoffeeScript, HTML, M4, Dockerfile, Awk, Assembly, C++, CSS, CMake, Scala, ANTLR, Shell, Objective-C++, Jinja, PowerShell, Python, Objective-C, Groovy, NSIS, Batchfile, Makefile, C#"
codeslinger,False,"Clojure, Java, OpenEdge ABL, Go, Emacs Lisp, Perl, F#, Ruby, Protocol Buffer, Nginx, Scheme, C, JavaScript, Common Lisp, Rust, nesC, Dart, HTML, Dockerfile, Perl 6, TLA, Tcl, C++, CSS, EJS, Thrift, Shell, Objective-C++, Python, Objective-C, Turing, Makefile"
amiroff,Istanbul,"Clojure, PHP, HTML, MDX, Dockerfile, Elixir, Batchfile, Shell, Makefile, CSS, JavaScript, Python"
constantine-nikolaou,"Amsterdam, Netherlands","Mako, CoffeeScript, Java, PHP, HTML, Ruby, Shell, ApacheConf, CSS, JavaScript, Python"
jonuts,Israel,"Java, PHP, HTML, Vim Script, Perl, Ruby, Shell, C++, CSS, JavaScript, C"
